Park,Section,Attraction Name,Height,Categories,Hours
Animal Kingdom,Rafiki's Planet Watch,Affection Section,Any Height,"Animal Encounters, Interactive",10:00 AM to 5:00 PM
Animal Kingdom,Africa,African Birds - Disney Animals,Any Height,,9:00 AM to 6:45 PM
Animal Kingdom,Africa,African Elephants - Disney Animals,Any Height,Animal Encounters,8:00 AM to 10:00 PM
Animal Kingdom,Pandora – The World of Avatar,Avatar Flight of Passage,44in (113cm) or taller,"Thrill Rides, FastPass+, Indoor, Avatar",8:00 AM to 10:00 PM
Animal Kingdom,DinoLand U.S.A.,The Boneyard,Any Height,Play Areas,9:00 AM to 9:00 PM
Animal Kingdom,Africa,Butterflies - Disney Animals,Any Height,,10:00 AM to 5:00 PM
Animal Kingdom,Rafiki's Planet Watch,Conservation Station,Any Height,"Animal Encounters, Indoor, Interactive",10:00 AM to 5:00 PM
Animal Kingdom,DinoLand U.S.A.,DINOSAUR,40in (102cm) or taller,"Small Drops, Thrill Rides, Dark, Scary, FastPass+, Indoor",8:00 AM to 10:00 PM
Animal Kingdom,DinoLand U.S.A.,Dino-Sue,Any Height,,8:00 AM to 10:00 PM
Animal Kingdom,Discovery Island,Discovery Island Trails,Any Height,Animal Encounters,8:00 AM to 10:00 PM
Animal Kingdom,Asia,Expedition Everest - Legend of the Forbidden Mountain,44in (113cm) or taller,"Big Drops, Thrill Rides, Dark, FastPass+",8:00 AM to 10:00 PM
Animal Kingdom,Discovery Island,Flamingos - Disney Animals,Any Height,,8:00 AM to 10:00 PM
Animal Kingdom,DinoLand U.S.A.,Fossil Fun Games,Any Height,Interactive,8:00 AM to 10:00 PM
Animal Kingdom,Asia,Gibbons - Disney Animals,Any Height,,8:00 AM to 10:00 PM
Animal Kingdom,Africa,Giraffes - Disney Animals,Any Height,,8:00 AM to 10:00 PM
Animal Kingdom,Africa,Gorilla Falls Exploration Trail,Any Height,Animal Encounters,9:00 AM to 6:45 PM
Animal Kingdom,Africa,Gorillas - Disney Animals,Any Height,Animal Encounters,9:00 AM to 6:45 PM
Animal Kingdom,Rafiki's Planet Watch,Habitat Habit!,Any Height,Animal Encounters,10:00 AM to 5:00 PM
Animal Kingdom,Africa,Hippopotamuses - Disney Animals,Any Height,,8:00 AM to 10:00 PM
Animal Kingdom,,Invertebrates - Disney Animals,Any Height,,10:00 AM to 5:00 PM
Animal Kingdom,Discovery Island,It's Tough to be a Bug!,Any Height,"Dark, Loud, Scary, FastPass+, Indoor, Stage Shows",8:00 AM to 10:00 PM
Animal Kingdom,Asia,Kali River Rapids,38in (97cm) or taller,"Small Drops, Thrill Rides, Water Rides, Spinning, FastPass+",8:00 AM to 10:00 PM
Animal Kingdom,Africa,Kilimanjaro Safaris,Any Height,"Slow Rides, Animal Encounters, Classics, FastPass+",9:00 AM to 10:00 PM
Animal Kingdom,Africa,Lions - Disney Animals,Any Height,Animal Encounters,8:00 AM to 10:00 PM
Animal Kingdom,Asia,Maharajah Jungle Trek,Any Height,Animal Encounters,9:00 AM to 6:45 PM
Animal Kingdom,,Migratory Birds - Disney Animals,Any Height,Animal Encounters,9:00 AM to 6:45 PM
Animal Kingdom,Pandora – The World of Avatar,Na'vi River Journey,,"Slow Rides, FastPass+, Indoor, Avatar",8:00 AM to 10:00 PM
Animal Kingdom,Oasis,The Oasis Exhibits,Any Height,Animal Encounters,8:00 AM to 10:00 PM
Animal Kingdom,Africa,Okapis - Disney Animals,Any Height,,8:00 AM to 10:00 PM
Animal Kingdom,DinoLand U.S.A.,Primeval Whirl,48in (122cm) or taller,"Small Drops, Thrill Rides, Spinning, FastPass+",8:00 AM to 10:00 PM
Animal Kingdom,Africa,Rhinos - Disney Animals,Any Height,Animal Encounters,8:00 AM to 10:00 PM
Animal Kingdom,Discovery Island,Tamarins - Disney Animals,Any Height,Animal Encounters,9:00 AM to 6:45 PM
Animal Kingdom,Asia,Tigers - Disney Animals,Any Height,Animal Encounters,9:00 AM to 6:45 PM
Animal Kingdom,Discovery Island,Tree of Life,Any Height,,8:00 AM to 10:00 PM
Animal Kingdom,DinoLand U.S.A.,TriceraTop Spin,Any Height,"Slow Rides, Spinning",8:00 AM to 10:00 PM
Animal Kingdom,Discovery Island,Vultures - Disney Animals,,,8:00 AM to 10:00 PM
Animal Kingdom,Multiple Locations,Wilderness Explorers,Any Height,Interactive,10:00 AM to 6:45 PM
Animal Kingdom,Africa,Wildlife Express Train,Any Height,Slow Rides,10:00 AM to 4:30 PM
Animal Kingdom,,Zebras - Disney Animals,Any Height,,9:00 AM to 6:45 PM
Animal Kingdom,,Disney Animals,Any Height,Animal Encounters,Schedule Unavailable
Animal Kingdom,,Disney's Animal Kingdom Park at Night,Any Height,"Classics, Interactive, What's New",Schedule Unavailable
Magic Kingdom,Tomorrowland,Astro Orbiter,Any Height,"Slow Rides, Spinning, Classics",8:00 AM to 11:00 PM
Magic Kingdom,Fantasyland,The Barnstormer,35in (89cm) or taller,"Small Drops, FastPass+, What's New",8:00 AM to 11:00 PM
Magic Kingdom,Frontierland,Big Thunder Mountain Railroad,40in (102cm) or taller,"Small Drops, Thrill Rides, Classics, FastPass+, Interactive",8:00 AM to 11:00 PM
Magic Kingdom,Tomorrowland,Buzz Lightyear's Space Ranger Spin,Any Height,"Slow Rides, Spinning, FastPass+, Indoor, Interactive",8:00 AM to 11:00 PM
Magic Kingdom,Fantasyland,Casey Jr. Splash 'N' Soak Station,Any Height,"Water Rides, Interactive, Play Areas, What's New",8:00 AM to 11:00 PM
Magic Kingdom,Fantasyland,Cinderella Castle,,"Disney Princesses, Indoor",8:00 AM to 11:00 PM
Magic Kingdom,Frontierland,Country Bear Jamboree,Any Height,"Classics, Indoor, Stage Shows",10:00 AM to 11:00 PM
Magic Kingdom,Fantasyland,Dumbo the Flying Elephant,Any Height,"Slow Rides, Spinning, Classics, FastPass+, Interactive, What's New",8:00 AM to 11:00 PM
Magic Kingdom,Fantasyland,Enchanted Tales with Belle,Any Height,"Disney Princesses, FastPass+, Indoor, Interactive, What's New",8:00 AM to 10:00 PM
Magic Kingdom,Frontierland,Frontierland Shootin' Arcade,Any Height,"Indoor, Interactive",8:00 AM to 11:00 PM
Magic Kingdom,Liberty Square,The Hall of Presidents,Any Height,"Classics, Indoor",8:00 AM to 9:00 PM
Magic Kingdom,Liberty Square,Haunted Mansion,Any Height,"Slow Rides, Dark, Classics, FastPass+, Indoor, Interactive",8:00 AM to 11:00 PM
Magic Kingdom,Main Street U.S.A.,Horses - Disney Animals,Any Height,,8:00 AM to 10:15 AM
Magic Kingdom,Fantasyland,"""it's a small world""",Any Height,"Slow Rides, Classics, Indoor",8:00 AM to 11:00 PM
Magic Kingdom,Adventureland,Jungle Cruise,Any Height,"Slow Rides, Classics, FastPass+",8:00 AM to 11:00 PM
Magic Kingdom,Fantasyland,Mad Tea Party,Any Height,"Spinning, Classics, FastPass+",8:00 AM to 11:00 PM
Magic Kingdom,Adventureland,The Magic Carpets of Aladdin,Any Height,"Slow Rides, Spinning, Disney Princesses, FastPass+",8:00 AM to 11:00 PM
Magic Kingdom,Main Street U.S.A.,Main Street Vehicles,Any Height,Slow Rides,8:00 AM to 10:15 AM
Magic Kingdom,Fantasyland,The Many Adventures of Winnie the Pooh,Any Height,"Slow Rides, FastPass+, Indoor, Interactive",8:00 AM to 11:00 PM
Magic Kingdom,Fantasyland,Mickey's PhilharMagic,Any Height,"Classics, Disney Princesses, FastPass+, Indoor, Stage Shows",8:00 AM to 11:00 PM
